id,teamOne,teamTwo,teamOneScore,teamTwoScore,event,date,teamTwoName,teamOneName
rwB1vuZaFqyvt4g6CcySAFRZY73mEnQ%2b1tW9lMtBzfE%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,9WHVxllE77Z7m0%2bG9M9KySsQcnlF0ekZblMqfEq7EMs%3d,6,13,DIII-Grand-Prix-2025,2025-02-08,Whitman (Whitman Sweets),Air Force (Afterburn)
Mp4WIEqYpFxOWSxowH6MTF1oqsd3mqs1JIqB%2bCNqhGc%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,Ywi175d80My7o0h6kkIiqnBYqysX%2fwo%2fwpvnG6azB5g%3d,13,8,DIII-Grand-Prix-2025,2025-02-08,Pacific Lutheran (Reign Men),Air Force (Afterburn)
O8hNOEeltKcLRRxqKLYJqVDaYmCLuaBmyF3iaYzT81k%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,LiBTzOwlNkckChrB9mp6jzyJV6AllkjZs3xbrEX3Rd8%3d,13,7,DIII-Grand-Prix-2025,2025-02-08,Reed (Hoot),Air Force (Afterburn)
OL%2fAwkTVu402pGngaVNNixc9CSB58oRqoWnASH6AFOI%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,8cJRcYI6DBTUEniaQCTWeMKTYKOYJ2hoEuJjaRUdvjU%3d,9,13,DIII-Grand-Prix-2025,2025-02-09,Occidental (Detox),Air Force (Afterburn)
v3NNZknP22lnQWic4JJoiOiZX8d5Ny%2fDpezsmFEdv3o%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,rNhHqhFitw%2bK6KWcM1ivv2wj3HW5k%2b%2b0oufHpMMw2U8%3d,8,13,DIII-Grand-Prix-2025,2025-02-09,Lewis & Clark (Bacchus ),Air Force (Afterburn)
O9izQNzviuJr7kczlyxaK2kR%2fBeBjLJEFilrJlrCUfY%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,3CmfBLg1yx6GaSxtLmaiAdak1VdbMpLijcciKloWfLc%3d,6,13,DIII-Grand-Prix-2025,2025-02-09,Claremont (Braineaters),Air Force (Afterburn)
YOO5UUMTWDxanooIFHguRTZe3azGZWIVolj0%2bl1NfJ0%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,4xUl1CwFmSu49WlKlTKjHF5ZFtpLttopkoJQL5mmLb0%3d,2,13,D-III-River-City-Showdown-2025,2025-03-01,Carleton College-CHOP (Carleton House of Pancakes),Air Force (Afterburn)
0YwTXhH1nmDi0Zi1HgM8reOWrn%2fiS8zvOXuDO3aUvok%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,NVzoKll%2fTbUR2wkSrYzRq%2fYF3KW9Uyv9pAEZ%2fYajS%2bc%3d,9,13,D-III-River-City-Showdown-2025,2025-03-01,Oberlin (Flying Horsecows),Air Force (Afterburn)
34LLEbF0XlVssv50lGOkvK6cBSt9nC3thqjTOXMzmYA%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,9C2E0v2XjzHaiqca9ttUfLsuHVws3u69fycXJhy6lYQ%3d,11,10,D-III-River-City-Showdown-2025,2025-03-01,Navy (Poseidon),Air Force (Afterburn)
nioCXcRyB8IkXJ6YrEIWGdOHeg8Za%2fmj95zZW9zMKew%3d,%2f745euUMwcwdnPoE7cDi48Nxo8XKzjHG9PHyYGVv4sY%3d,OCPO8%2fjCVXFtdOMyMCuNK0fn%2fwgZ%2bVk%2fvvX8DbBoSuM%3d,4,13,D-III-River-City-Showdown-2025,2025-03-01,Puget Sound (Postmen),Air Force (Afterburn)
