match_id,tournament,date
1,DIII-Grand-Prix-2025,2025-02-08
2,DIII-Grand-Prix-2025,2025-02-08
3,DIII-Grand-Prix-2025,2025-02-08
4,DIII-Grand-Prix-2025,2025-02-09
5,DIII-Grand-Prix-2025,2025-02-09
6,DIII-Grand-Prix-2025,2025-02-09
7,D-III-River-City-Showdown-2025,2025-03-01
8,D-III-River-City-Showdown-2025,2025-03-01
9,D-III-River-City-Showdown-2025,2025-03-01
10,D-III-River-City-Showdown-2025,2025-03-01
11,D-III-River-City-Showdown-2025,2025-03-02
12,D-III-River-City-Showdown-2025,2025-03-02
13,Huckin-in-the-Hills-XI,2025-03-01
14,Huckin-in-the-Hills-XI,2025-03-01
15,Huckin-in-the-Hills-XI,2025-03-01
16,Huckin-in-the-Hills-XI,2025-03-02
17,Huckin-in-the-Hills-XI,2025-03-02
18,Spring-Spook,2025-03-15
19,Spring-Spook,2025-03-15
20,Spring-Spook,2025-03-16
21,Spring-Spook,2025-03-16
22,Spring-Spook,2025-03-16
23,T-Town-Throwdown-XX,2025-01-25
24,T-Town-Throwdown-XX,2025-01-25
25,T-Town-Throwdown-XX,2025-01-25
26,T-Town-Throwdown-XX,2025-01-25
27,T-Town-Throwdown-XX,2025-01-26
28,T-Town-Throwdown-XX,2025-01-26
29,T-Town-Throwdown-XX,2025-01-26
30,T-Town-Throwdown-XX,2025-01-26
31,Queen-City-Tune-Up-2025,2025-02-15
32,Queen-City-Tune-Up-2025,2025-02-15
33,Queen-City-Tune-Up-2025,2025-02-15
34,Queen-City-Tune-Up-2025,2025-02-16
35,Queen-City-Tune-Up-2025,2025-02-16
36,Mardi-Gras-XXXVII,2025-02-22
37,Mardi-Gras-XXXVII,2025-02-22
38,Mardi-Gras-XXXVII,2025-02-22
39,Mardi-Gras-XXXVII,2025-02-22
40,Huck-Finn-2025,2025-03-29
41,Huck-Finn-2025,2025-03-29
42,Huck-Finn-2025,2025-03-29
43,Huck-Finn-2025,2025-03-29
44,Huck-Finn-2025,2025-03-30
45,Huck-Finn-2025,2025-03-30
46,Huck-Finn-2025,2025-03-30
47,T-Town-Throwdown-XX,2025-01-25
48,T-Town-Throwdown-XX,2025-01-25
49,T-Town-Throwdown-XX,2025-01-25
50,T-Town-Throwdown-XX,2025-01-25
51,T-Town-Throwdown-XX,2025-01-26
52,T-Town-Throwdown-XX,2025-01-26
53,T-Town-Throwdown-XX,2025-01-26
54,2025-Annual-Magic-City-Invite,2025-03-22
55,2025-Annual-Magic-City-Invite,2025-03-22
56,2025-Annual-Magic-City-Invite,2025-03-22
57,2025-Annual-Magic-City-Invite,2025-03-22
58,2025-Annual-Magic-City-Invite,2025-03-23
59,2025-Annual-Magic-City-Invite,2025-03-23
60,2025-Annual-Magic-City-Invite,2025-03-23
61,T-Town-Throwdown-XX,2025-01-25
62,T-Town-Throwdown-XX,2025-01-25
63,T-Town-Throwdown-XX,2025-01-25
64,T-Town-Throwdown-XX,2025-01-26
65,T-Town-Throwdown-XX,2025-01-26
66,2025-Annual-Magic-City-Invite,2025-03-22
67,2025-Annual-Magic-City-Invite,2025-03-22
68,2025-Annual-Magic-City-Invite,2025-03-22
69,2025-Annual-Magic-City-Invite,2025-03-22
70,2025-Annual-Magic-City-Invite,2025-03-23
71,2025-Annual-Magic-City-Invite,2025-03-23
72,2025-Annual-Magic-City-Invite,2025-03-23
73,Florida-Warm-Up-2025,2025-01-31
74,Florida-Warm-Up-2025,2025-01-31
75,Florida-Warm-Up-2025,2025-01-31
76,Florida-Warm-Up-2025,2025-02-01
77,Florida-Warm-Up-2025,2025-02-01
