match_id,team_id,opponent_id,points_for,points_against
1,1,2,6,13
1,2,1,13,6
2,1,3,13,8
2,3,1,8,13
3,1,4,13,7
3,4,1,7,13
4,1,5,9,13
4,5,1,13,9
5,1,6,8,13
5,6,1,13,8
6,1,7,6,13
6,7,1,13,6
7,1,8,2,13
7,8,1,13,2
8,1,9,9,13
8,9,1,13,9
9,1,10,11,10
9,10,1,10,11
10,1,11,4,13
10,11,1,13,4
11,1,12,9,11
11,12,1,11,9
12,1,13,9,13
12,13,1,13,9
13,14,15,12,2
13,15,14,2,12
14,14,16,8,2
14,16,14,2,8
15,14,17,9,3
15,17,14,3,9
16,14,18,4,13
16,18,14,13,4
17,14,19,11,10
17,19,14,10,11
18,14,20,4,13
18,20,14,13,4
19,14,21,8,3
19,21,14,3,8
20,14,22,13,7
20,22,14,7,13
21,14,20,6,15
21,20,14,15,6
22,14,19,10,12
22,19,14,12,10
23,23,24,13,6
23,24,23,6,13
24,23,25,12,13
24,25,23,13,12
25,23,26,13,0
25,26,23,0,13
26,23,27,13,0
26,27,23,0,13
27,23,28,13,4
27,28,23,4,13
28,23,29,15,10
28,29,23,10,15
29,23,30,15,12
29,30,23,12,15
30,23,25,12,15
30,25,23,15,12
31,23,31,9,13
31,31,23,13,9
32,23,32,13,11
32,32,23,11,13
33,23,33,9,13
33,33,23,13,9
34,23,34,7,8
34,34,23,8,7
35,23,35,7,9
35,35,23,9,7
36,23,36,13,2
36,36,23,2,13
37,23,37,13,6
37,37,23,6,13
38,23,38,10,13
38,38,23,13,10
39,23,39,13,12
39,39,23,12,13
40,23,40,13,8
40,40,23,8,13
41,23,41,7,14
41,41,23,14,7
42,23,42,7,12
42,42,23,12,7
43,23,43,6,15
43,43,23,15,6
44,23,40,11,8
44,40,23,8,11
45,23,30,11,6
45,30,23,6,11
46,23,44,9,7
46,44,23,7,9
47,45,29,5,11
47,29,45,11,5
48,45,46,13,12
48,46,45,12,13
49,45,39,3,13
49,39,45,13,3
50,45,30,6,13
50,30,45,13,6
51,45,47,7,13
51,47,45,13,7
