1,Air Force (Afterburn)
2,Whitman (Whitman Sweets)
3,Pacific Lutheran (Reign Men)
4,Reed (Hoot)
5,Occidental (Detox)
6,Lewis & Clark (Bacchus)
7,Claremont (Braineaters)
8,Carleton College-CHOP (Carleton House of Pancakes)
9,Oberlin (Flying Horsecows)
10,Navy (Poseidon)
11,Puget Sound (Postmen)
12,Xavier (B.L.O.B.)
13,Michigan Tech (DiscoTech)
14,Akron (GoonSquad)
15,Ohio-B (Bass)
16,Maryland-B (Astro Quakers)
17,West Virginia (WV Wild)
18,Butler (Butler Big Dog)
19,Kent State (Klockwork)
20,Kentucky (KULT)
21,Toledo (Savage)
22,Miami (Ohio) (Miami Boogiemen)
23,Alabama (Yellow Hammer)
24,LSU (Purple Haze)
25,Berry (Bucks)
26,Harding (Harding Apocalypse)
27,Tennessee-Chattanooga -B (Tennessee-Chattanooga B)
28,Illinois State (Gnomes)
29,Alabama-Birmingham (Inferno)
30,Mississippi State (Dark Horse)
31,South Carolina (Gamecock Ultimate)
32,North Carolina-Wilmington (Seamen)
33,Carnegie Mellon (Mr. Yuk)
34,Yale (Süperfly)
35,Tennessee (Tennessee)
36,Georgia Southern (Eagles)
37,Arkansas (Ludicrous Speed)
38,Florida (Florida)
39,Tennessee-Chattanooga (Swamp Donkeys)
40,Saint Louis (Archangel)
41,Notre Dame (Papal Rage)
42,Iowa State (ISUC)
43,Southern Illinois-Edwardsville (SIEGE)
44,Missouri S&T (Miner Threat)
45,Alabama-B (Yellow Hammer)
46,Jacksonville State (Firebird)
47,Union (Tennessee) (Union Jaxx)
48,Samford (Dogma)
49,South Florida-B (Scourge)
50,Miami (Florida) (UMiami Vice)
51,Mississippi State-B (Trenches)
52,Mississippi (Ole Miss Flagship)
53,Alabama-Huntsville (Nightmares)
54,McGill (MUT)
55,South Florida (Scallywags)
56,Michigan (MagnUM)
57,Carleton College (CUT)
58,Washington University (Contra)
59,Central Florida (Dogs of War)
60,Florida State (DUF)
61,Michigan State (ARC)
62,Chicago (Fission)
63,North Carolina State (NC State Alpha)
64,American (Stall 11)
65,James Madison (Hellfish)
66,East Carolina (Irates)
67,Virginia Commonwealth (Biscuit Villains)
68,Johns Hopkins (Dangerzone)
69,Villanova (Main Line Ultimate)
70,George Washington (George Washington Men’s Club Ultimate)
71,Maryland-Baltimore County (Booya)
72,George Mason (Meteors)
73,Dickinson (Dumptrucks)
74,George Washington-B (George Washington Men’s Club Ultimate B)
75,North Carolina-Charlotte (Charlotte Skyrise)
76,Messiah (Falcons)
77,RIT (RIT Spudheds)
78,American-B (Revolution)
